a	sentence	$	example	of	with	7
an	example	a	this	is	of	7
and	if	is	$	$	that	7
åber	åber	åber	strasse	åber	åber	1
åber	åber	åber	straße	strasse	åber	1
åber	åber	this	åber	åber	åber	1
åber	åber	this	åber	åber	this	1
åber	this	this	åber	åber	this	1
case	then	n-gram	is	the	the	7
counter	will	with	the	n-gram	deal	7
deal	with	$	counter	will	it	1
deal	with	this	counter	will	it	6
example	of	sentence	is	an	a	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	test	finland	finland	1
finland	finland	finland	test	test	finland	1
finland	finland	straße	finland	finland	finland	1
finland	finland	straße	finland	finland	straße	1
finland	finland	thisissimplyalongword	this	this	thisissimplyalongword	1
finland	straße	straße	finland	finland	straße	1
finland	thisissimplyalongword	thisissimplyalongword	this	finland	thisissimplyalongword	1
if	that	the	$	and	is	7
is	an	of	$	this	example	1
is	an	of	it	this	example	6
is	the	then	if	that	case	7
it	$	$	deal	with	$	1
it	this	an	deal	with	is	6
n-gram	counter	deal	then	the	will	7
of	a	with	an	example	sentence	7
sentence	with	$	of	a	$	7
strasse	åber	åber	straße	straße	åber	1
straße	strasse	åber	straße	straße	åber	1
straße	straße	åber	straße	straße	strasse	1
straße	straße	strasse	straße	straße	straße	1
straße	straße	straße	finland	finland	straße	1
straße	straße	straße	finland	straße	straße	1
test	finland	finland	test	test	finland	1
test	test	finland	test	test	finland	1
test	test	finland	test	test	test	1
test	test	test	$	$	test	1
test	test	test	$	test	test	1
that	is	case	and	if	the	7
the	case	the	that	is	then	7
the	n-gram	will	case	then	counter	7
then	the	counter	the	case	n-gram	7
this	finland	thisissimplyalongword	this	this	finland	1
this	is	example	$	$	an	1
this	is	example	with	it	an	6
this	this	finland	this	this	finland	1
this	this	finland	this	this	this	1
this	this	this	åber	åber	this	1
this	this	this	åber	this	this	1
this	this	this	this	this	this	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	2
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
