a	example	sentence	of	7
an	this	example	is	7
and	$	if	$	7
åber	åber	åber	åber	2
åber	åber	this	åber	1
åber	strasse	åber	åber	1
åber	straße	åber	strasse	1
case	is	then	the	7
counter	the	will	n-gram	7
deal	counter	with	will	7
example	is	of	an	7
finland	finland	finland	finland	6
finland	finland	straße	finland	1
finland	test	finland	finland	1
finland	test	finland	test	1
finland	this	finland	this	1
finland	this	thisissimplyalongword	finland	1
if	$	that	and	7
is	$	an	this	1
is	if	the	that	7
is	it	an	this	6
it	deal	$	with	1
it	deal	this	with	6
n-gram	then	counter	the	7
of	an	a	example	7
sentence	of	with	a	7
strasse	straße	åber	straße	1
straße	finland	straße	finland	1
straße	finland	straße	straße	1
straße	straße	strasse	straße	1
straße	straße	straße	straße	2
test	$	test	$	1
test	$	test	test	1
test	test	finland	test	1
test	test	test	test	2
that	and	is	if	7
the	case	n-gram	then	7
the	that	case	is	7
then	the	the	case	7
this	$	is	$	1
this	åber	this	åber	1
this	åber	this	this	1
this	this	finland	this	1
this	this	this	this	3
this	with	is	it	6
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	3
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	4
thisissimplyalongword	finland	thisissimplyalongword	finland	1
thisissimplyalongword	finland	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	3
will	n-gram	deal	counter	7
with	a	$	sentence	7
with	will	it	deal	7
