a	$	$	of	sentence	with	7
an	a	sentence	is	example	of	7
and	is	the	$	if	that	7
åber	åber	åber	strasse	åber	åber	1
åber	åber	this	åber	åber	åber	1
åber	this	this	åber	åber	åber	1
åber	this	this	åber	åber	this	1
åber	this	this	åber	this	this	1
case	n-gram	counter	the	then	the	7
counter	with	it	n-gram	will	deal	7
deal	$	$	will	with	it	1
deal	this	is	will	with	it	6
example	sentence	with	an	of	a	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	test	finland	finland	1
finland	finland	straße	finland	finland	finland	1
finland	straße	straße	finland	finland	finland	1
finland	straße	straße	finland	finland	straße	1
finland	straße	straße	finland	straße	straße	1
finland	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	thisissimplyalongword	1
finland	thisissimplyalongword	thisissimplyalongword	this	finland	thisissimplyalongword	1
if	the	case	and	that	is	7
is	of	a	this	an	example	7
is	then	the	that	the	case	7
it	$	$	with	$	$	1
it	an	example	with	this	is	6
n-gram	deal	with	the	counter	will	7
of	with	$	example	a	sentence	7
sentence	$	$	a	with	$	7
strasse	åber	åber	straße	åber	åber	1
straße	åber	åber	straße	strasse	åber	1
straße	åber	åber	straße	straße	strasse	1
straße	strasse	åber	straße	straße	straße	1
straße	straße	strasse	straße	straße	straße	1
straße	straße	straße	finland	straße	straße	1
test	finland	finland	test	finland	finland	1
test	finland	finland	test	test	finland	1
test	finland	finland	test	test	test	1
test	test	finland	test	test	test	1
test	test	test	$	test	test	1
that	case	then	if	is	the	7
the	the	n-gram	is	case	then	7
the	will	deal	then	n-gram	counter	7
then	counter	will	case	the	n-gram	7
this	example	of	$	is	an	1
this	example	of	it	is	an	6
this	finland	finland	this	this	this	1
this	finland	thisissimplyalongword	this	this	finland	1
this	this	finland	this	this	this	1
this	this	this	åber	this	this	1
this	this	this	this	this	this	1
this	thisissimplyalongword	thisissimplyalongword	this	finland	finland	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	$	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	2
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
will	it	$	counter	deal	with	1
will	it	this	counter	deal	with	6
with	$	$	deal	it	$	1
with	$	$	sentence	$	$	7
with	is	an	deal	it	this	6
