a	$	sentence	$	of	with	7
an	a	example	sentence	is	of	7
and	is	if	the	$	that	7
åber	åber	åber	åber	strasse	åber	1
åber	åber	åber	this	åber	åber	1
åber	this	åber	this	åber	åber	1
åber	this	åber	this	åber	this	1
åber	this	this	this	åber	this	1
case	n-gram	then	counter	the	the	7
counter	with	will	it	n-gram	deal	7
deal	$	with	$	will	it	1
deal	this	with	is	will	it	6
example	sentence	of	with	an	a	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	finland	test	finland	1
finland	finland	finland	straße	finland	finland	1
finland	straße	finland	straße	finland	finland	1
finland	straße	finland	straße	finland	straße	1
finland	straße	straße	straße	finland	straße	1
finland	thisissimplyalongword	finland	thisissimplyalongword	this	thisissimplyalongword	1
finland	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	1
if	the	that	case	and	is	7
is	of	an	a	this	example	7
is	then	the	the	that	case	7
it	$	$	$	with	$	1
it	an	this	example	with	is	6
n-gram	deal	counter	with	the	will	7
of	with	a	$	example	sentence	7
sentence	$	with	$	a	$	7
strasse	åber	åber	åber	straße	åber	1
straße	åber	strasse	åber	straße	åber	1
straße	åber	straße	åber	straße	strasse	1
straße	strasse	straße	åber	straße	straße	1
straße	straße	straße	strasse	straße	straße	1
straße	straße	straße	straße	finland	straße	1
test	finland	finland	finland	test	finland	1
test	finland	test	finland	test	finland	1
test	finland	test	finland	test	test	1
test	test	test	finland	test	test	1
test	test	test	test	$	test	1
that	case	is	then	if	the	7
the	the	case	n-gram	is	then	7
the	will	n-gram	deal	then	counter	7
then	counter	the	will	case	n-gram	7
this	example	is	of	$	an	1
this	example	is	of	it	an	6
this	finland	this	finland	this	this	1
this	finland	this	thisissimplyalongword	this	finland	1
this	this	this	finland	this	this	1
this	this	this	this	åber	this	1
this	this	this	this	this	this	1
this	thisissimplyalongword	finland	thisissimplyalongword	this	finland	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	$	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	2
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
will	it	deal	$	counter	with	1
will	it	deal	this	counter	with	6
with	$	$	$	sentence	$	7
with	$	it	$	deal	$	1
with	is	it	an	deal	this	6
