a	with	$	example	of	sentence	7
an	of	a	this	is	example	7
and	that	is	$	$	if	7
åber	åber	åber	strasse	åber	åber	1
åber	åber	åber	straße	strasse	åber	1
åber	åber	this	åber	åber	åber	1
åber	this	this	åber	åber	åber	1
åber	this	this	åber	åber	this	1
case	the	n-gram	is	the	then	7
counter	deal	with	the	n-gram	will	7
deal	it	$	counter	will	with	1
deal	it	this	counter	will	with	6
example	a	sentence	is	an	of	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	test	finland	finland	1
finland	finland	finland	test	test	finland	1
finland	finland	straße	finland	finland	finland	1
finland	straße	straße	finland	finland	finland	1
finland	straße	straße	finland	finland	straße	1
finland	thisissimplyalongword	thisissimplyalongword	this	finland	thisissimplyalongword	1
finland	thisissimplyalongword	thisissimplyalongword	this	this	finland	1
if	is	the	$	and	that	7
is	case	then	if	that	the	7
is	example	of	$	this	an	1
is	example	of	it	this	an	6
it	$	$	deal	with	$	1
it	is	an	deal	with	this	6
n-gram	will	deal	then	the	counter	7
of	sentence	with	an	example	a	7
sentence	$	$	of	a	with	7
strasse	åber	åber	straße	straße	åber	1
straße	åber	åber	straße	straße	strasse	1
straße	strasse	åber	straße	straße	straße	1
straße	straße	strasse	straße	straße	straße	1
straße	straße	straße	finland	finland	straße	1
straße	straße	straße	finland	straße	straße	1
test	finland	finland	test	test	finland	1
test	finland	finland	test	test	test	1
test	test	finland	test	test	test	1
test	test	test	$	$	test	1
test	test	test	$	test	test	1
that	the	case	and	if	is	7
the	counter	will	case	then	n-gram	7
the	then	the	that	is	case	7
then	n-gram	counter	the	case	the	7
this	an	example	$	$	is	1
this	an	example	with	it	is	6
this	finland	finland	this	this	this	1
this	finland	thisissimplyalongword	this	this	finland	1
this	this	finland	this	this	this	1
this	this	this	åber	åber	this	1
this	this	this	åber	this	this	1
this	this	this	this	this	this	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
