a	sentence	an	with	example	of	7
an	example	$	of	this	is	1
an	example	it	of	this	is	6
and	if	$	that	$	$	7
åber	åber	åber	this	åber	åber	1
åber	åber	strasse	åber	åber	åber	1
åber	åber	straße	åber	strasse	åber	1
åber	åber	straße	åber	straße	strasse	1
åber	this	åber	this	åber	åber	1
case	then	that	the	is	the	7
counter	will	then	deal	the	n-gram	7
deal	with	n-gram	it	counter	will	7
example	of	this	a	is	an	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	straße	finland	finland	1
finland	finland	test	finland	finland	finland	1
finland	finland	test	finland	test	finland	1
finland	finland	test	finland	test	test	1
finland	finland	this	thisissimplyalongword	this	this	1
finland	straße	finland	straße	finland	finland	1
finland	thisissimplyalongword	this	thisissimplyalongword	this	finland	1
if	that	$	is	$	and	7
is	an	$	example	$	this	1
is	an	with	example	it	this	6
is	the	and	case	if	that	7
it	$	will	$	deal	with	1
it	this	will	is	deal	with	6
n-gram	counter	case	will	then	the	7
of	a	is	sentence	an	example	7
sentence	with	example	$	of	a	7
strasse	åber	straße	åber	straße	straße	1
straße	strasse	straße	åber	straße	straße	1
straße	straße	finland	straße	finland	finland	1
straße	straße	finland	straße	finland	straße	1
straße	straße	finland	straße	straße	straße	1
straße	straße	straße	strasse	straße	straße	1
test	finland	test	finland	test	test	1
test	test	$	test	$	$	1
test	test	$	test	$	test	1
test	test	$	test	test	test	1
test	test	test	finland	test	test	1
that	is	$	the	and	if	7
the	case	if	then	that	is	7
the	n-gram	the	counter	case	then	7
then	the	is	n-gram	the	case	7
this	finland	this	finland	this	this	1
this	is	$	an	$	$	1
this	is	deal	an	with	it	6
this	this	åber	this	åber	åber	1
this	this	åber	this	åber	this	1
this	this	åber	this	this	this	1
this	this	this	finland	this	this	1
this	this	this	this	this	this	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	2
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	finland	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	this	thisissimplyalongword	finland	finland	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
will	deal	the	with	n-gram	counter	7
with	$	of	$	a	sentence	7
with	it	counter	$	will	deal	1
with	it	counter	this	will	deal	6
