a	with	example	$	of	sentence	7
an	of	this	a	is	example	7
and	that	$	is	$	if	7
åber	åber	åber	this	åber	åber	1
åber	åber	strasse	åber	åber	åber	1
åber	åber	straße	åber	strasse	åber	1
åber	this	åber	this	åber	åber	1
åber	this	åber	this	åber	this	1
case	the	is	n-gram	the	then	7
counter	deal	the	with	n-gram	will	7
deal	it	counter	$	will	with	1
deal	it	counter	this	will	with	6
example	a	is	sentence	an	of	7
finland	finland	finland	finland	finland	finland	4
finland	finland	finland	straße	finland	finland	1
finland	finland	test	finland	finland	finland	1
finland	finland	test	finland	test	finland	1
finland	straße	finland	straße	finland	finland	1
finland	straße	finland	straße	finland	straße	1
finland	thisissimplyalongword	this	thisissimplyalongword	finland	thisissimplyalongword	1
finland	thisissimplyalongword	this	thisissimplyalongword	this	finland	1
if	is	$	the	and	that	7
is	case	if	then	that	the	7
is	example	$	of	this	an	1
is	example	it	of	this	an	6
it	$	deal	$	with	$	1
it	is	deal	an	with	this	6
n-gram	will	then	deal	the	counter	7
of	sentence	an	with	example	a	7
sentence	$	of	$	a	with	7
strasse	åber	straße	åber	straße	åber	1
straße	åber	straße	åber	straße	strasse	1
straße	strasse	straße	åber	straße	straße	1
straße	straße	finland	straße	finland	straße	1
straße	straße	finland	straße	straße	straße	1
straße	straße	straße	strasse	straße	straße	1
test	finland	test	finland	test	finland	1
test	finland	test	finland	test	test	1
test	test	$	test	$	test	1
test	test	$	test	test	test	1
test	test	test	finland	test	test	1
that	the	and	case	if	is	7
the	counter	case	will	then	n-gram	7
the	then	that	the	is	case	7
then	n-gram	the	counter	case	the	7
this	an	$	example	$	is	1
this	an	with	example	it	is	6
this	finland	this	finland	this	this	1
this	finland	this	thisissimplyalongword	this	finland	1
this	this	åber	this	åber	this	1
this	this	åber	this	this	this	1
this	this	this	finland	this	this	1
this	this	this	this	this	this	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	2
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	finland	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
will	with	n-gram	it	counter	deal	7
with	$	a	$	sentence	$	7
with	$	will	$	deal	it	1
with	this	will	is	deal	it	6
