a	$	sentence	of	with	7
an	a	example	is	of	7
and	is	if	$	that	7
åber	åber	åber	åber	åber	1
åber	åber	åber	strasse	åber	1
åber	this	åber	åber	åber	1
åber	this	åber	åber	this	1
åber	this	this	åber	this	1
case	n-gram	then	the	the	7
counter	with	will	n-gram	deal	7
deal	$	with	will	it	1
deal	this	with	will	it	6
example	sentence	of	an	a	7
finland	finland	finland	finland	finland	5
finland	finland	finland	test	finland	1
finland	straße	finland	finland	finland	1
finland	straße	finland	finland	straße	1
finland	straße	straße	finland	straße	1
finland	thisissimplyalongword	finland	this	thisissimplyalongword	1
finland	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	1
if	the	that	and	is	7
is	of	an	this	example	7
is	then	the	that	case	7
it	$	$	with	$	1
it	an	this	with	is	6
n-gram	deal	counter	the	will	7
of	with	a	example	sentence	7
sentence	$	with	a	$	7
strasse	åber	åber	straße	åber	1
straße	åber	strasse	straße	åber	1
straße	åber	straße	straße	strasse	1
straße	strasse	straße	straße	straße	1
straße	straße	straße	finland	straße	1
straße	straße	straße	straße	straße	1
test	finland	finland	test	finland	1
test	finland	test	test	finland	1
test	finland	test	test	test	1
test	test	test	$	test	1
test	test	test	test	test	1
that	case	is	if	the	7
the	the	case	is	then	7
the	will	n-gram	then	counter	7
then	counter	the	case	n-gram	7
this	example	is	$	an	1
this	example	is	it	an	6
this	finland	this	this	finland	1
this	finland	this	this	this	1
this	this	this	åber	this	1
this	this	this	this	this	2
this	thisissimplyalongword	finland	this	finland	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	2
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	1
thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	3
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	2
will	it	deal	counter	with	7
with	$	$	sentence	$	7
with	$	it	deal	$	1
with	is	it	deal	this	6
