a	sentence	with	example	of	7
an	example	of	this	is	7
and	if	that	$	$	7
åber	åber	åber	åber	åber	1
åber	åber	åber	strasse	åber	1
åber	åber	åber	straße	strasse	1
åber	åber	this	åber	åber	1
åber	this	this	åber	åber	1
case	then	the	is	the	7
counter	will	deal	the	n-gram	7
deal	with	it	counter	will	7
example	of	a	is	an	7
finland	finland	finland	finland	finland	5
finland	finland	finland	test	finland	1
finland	finland	finland	test	test	1
finland	finland	straße	finland	finland	1
finland	finland	thisissimplyalongword	this	this	1
finland	straße	straße	finland	finland	1
finland	thisissimplyalongword	thisissimplyalongword	this	finland	1
if	that	is	$	and	7
is	an	example	$	this	1
is	an	example	it	this	6
is	the	case	if	that	7
it	$	$	deal	with	1
it	this	is	deal	with	6
n-gram	counter	will	then	the	7
of	a	sentence	an	example	7
sentence	with	$	of	a	7
strasse	åber	åber	straße	straße	1
straße	strasse	åber	straße	straße	1
straße	straße	strasse	straße	straße	1
straße	straße	straße	finland	finland	1
straße	straße	straße	finland	straße	1
straße	straße	straße	straße	straße	1
test	finland	finland	test	test	1
test	test	finland	test	test	1
test	test	test	$	$	1
test	test	test	$	test	1
test	test	test	test	test	1
that	is	the	and	if	7
the	case	then	that	is	7
the	n-gram	counter	case	then	7
then	the	n-gram	the	case	7
this	finland	finland	this	this	1
this	is	an	$	$	1
this	is	an	with	it	6
this	this	finland	this	this	1
this	this	this	åber	åber	1
this	this	this	åber	this	1
this	this	this	this	this	2
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	2
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	$	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	$	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	1
thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	thisisawordwiththirtyninecharactsaaaaaa	3
thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisisawordwithfortycharactersaaaaaaaaaa	thisissimplyalongword	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	finland	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	finland	thisissimplyalongword	1
thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	thisissimplyalongword	2
will	deal	with	n-gram	counter	7
with	$	$	a	sentence	7
with	it	$	will	deal	1
with	it	this	will	deal	6
